"Story","Title","Result","Date","Stability","Duration (s)"
"Pet CRUD test","This will add a pet information","SUCCESS","2023-01-10T22:18:54.916Z[Europe/London]","0.0","0.75"
"Pet CRUD test","This will find pet information by petID","SUCCESS","2023-01-10T22:18:55.669Z[Europe/London]","0.0","0.63"
"Pet CRUD test","This will update pet information","SUCCESS","2023-01-10T22:18:56.298Z[Europe/London]","0.0","0.62"
"Pet CRUD test","Deleting pet info and verifying pet info is delted","SUCCESS","2023-01-10T22:18:56.918Z[Europe/London]","0.0","1.28"
"Pet data driven test","Data driven test for adding multiple pets to the application","SUCCESS","2023-01-10T22:18:59.596Z[Europe/London]","0.0","7.95"
"Tags test","Test001","SUCCESS","2023-01-10T22:18:59.786Z[Europe/London]","0.0","1.35"
"Tags test","Test002","SUCCESS","2023-01-10T22:19:01.133Z[Europe/London]","0.0","0.63"
"Tags test","Provide 500 status code when incorrect Http method is used to access resource","FAILURE","2023-01-10T22:19:01.765Z[Europe/London]","0.0","0.68"
"Tags test","Provide 200 status code when correct Http method is used to access resource","SUCCESS","2023-01-10T22:19:02.460Z[Europe/London]","0.0","0.72"
"User CRUD test","This will create a new user","SUCCESS","2023-01-10T22:19:03.267Z[Europe/London]","0.0","0.64"
"User CRUD test","This will verify that new user has been created","SUCCESS","2023-01-10T22:19:03.911Z[Europe/London]","0.0","0.73"
"User CRUD test","This will update a new user","SUCCESS","2023-01-10T22:19:04.643Z[Europe/London]","0.0","1.23"
"User CRUD test","Deleting user and verifying user is delted","SUCCESS","2023-01-10T22:19:05.881Z[Europe/London]","0.0","1.31"
"User data driven test","Data driven test for adding multiple users to the application","SUCCESS","2023-01-10T22:19:08.994Z[Europe/London]","0.0","9.45"
"Testing different request on the petstore application pet detail","As a user I am registering new pet detail","SUCCESS","2023-01-10T22:18:15.480Z[Europe/London]","0.0","12.32"
"Testing different request on the petstore application pet detail","As a user I am getting detail of new pet","SUCCESS","2023-01-10T22:18:33.406Z[Europe/London]","0.0","1.43"
"Testing different request on the petstore application pet detail","As a user I am updating existing pet detail","SUCCESS","2023-01-10T22:18:35.048Z[Europe/London]","0.0","0.81"
"Testing different request on the petstore application pet detail","As user I am deleting Pet detail","SUCCESS","2023-01-10T22:18:35.968Z[Europe/London]","0.0","1.58"
"Testing different request on the petstore application","As a user I am getting detail of new user","SUCCESS","2023-01-10T22:18:44.425Z[Europe/London]","0.0","0.8"
"Testing different request on the petstore application","As a user I am updating user detail","SUCCESS","2023-01-10T22:18:46.528Z[Europe/London]","0.0","1.35"
"Testing different request on the petstore application","As user I am deleting user detail","SUCCESS","2023-01-10T22:18:48.423Z[Europe/London]","0.0","1.72"
"Testing different request on the petstore application","As a user I am registering new user detail","SUCCESS","2023-01-10T22:18:50.339Z[Europe/London]","0.0","4.16"
